prior_id,year,domain,citation,doi_or_url,claim_axis,prior_art_strength,what_is_already_known,what_remains_distinct_in_chun
PA011,2006,phylogenetic_methods,"Bollback. SIMMAP: stochastic character mapping of discrete traits on phylogenies",10.1186/1471-2105-7-88,N3_pattern_vs_event,DIRECT_METHOD,"Established probabilistic character-history inference that integrates uncertainty in ancestral states, model parameters, and phylogeny.","chun cannot present event uncertainty as a new methodological insight."
PA012,2025,phylogenetic_methods,"Revell. Ancestral State Reconstruction of Phenotypic Characters",10.1007/s11692-025-09645-y,N3_pattern_vs_event,DIRECT_METHOD,"Review demonstrates substantial sensitivity of ancestral-state estimates to model misspecification and urges cautious interpretation.","Supports the stop rule but pre-empts generic claims that ancestral events are uncertain."
PA013,2024,empirical_phylogenetics,"Kraisitudomsook et al. On the origin of bird's nest fungi: Phylogenomic analyses of fungi in the Nidulariaceae",10.1016/j.ympev.2024.108010,N3_pattern_vs_event,DIRECT_EMPIRICAL,"Alternative coding schemes and broader datasets produced conflicting ancestral-state reconstructions and transition counts in an empirical system.","Therefore 'pattern can be stable while event counts depend on coding' is not uniquely new in principle; chun's distinctive test is a predeclared cross-topology x cross-colour-coding gate in flower colour."
PA014,2021,flower_colour_ecology,"Trunschke et al. Flower Color Evolution and the Evidence of Pollinator-Mediated Selection",10.3389/fpls.2021.617851,N4_ecological_causation,DIRECT_REVIEW,"Found only 18 studies quantifying selection on continuous petal-colour variation and only six with hand-pollination designs; strong pollinator-mediated selection evidence was limited.","Supports keeping Camellia pollination as context rather than assigning branch-specific colour causation without direct selection tests."
PA015,2025,flower_colour_ecology,"Lacey. Temperature and the evolution of flower color: A review",10.1002/ajb2.70106,N4_ecological_causation,DIRECT_REVIEW,"Synthesized temperature-mediated flower-colour evolution and emphasized unresolved direct/indirect selection and phylogenetic-pattern questions.","Pre-empts generic climate-colour novelty; strengthens chun's conservative ecology boundary."
PA016,2023,camellia_ecology,"Mori et al. Color strategies of camellias recruiting different pollinators",10.1016/j.phytochem.2022.113559,N4_camellia_ecology,DIRECT_CAMELLIA,"Showed C. japonica and C. rusticana can share coarse red colour while differing strongly in UV/fluorescence, bee visibility, and pollinator response.","Visible-state aliasing in Camellia is directly established; chun should cite this rather than claim it as new."
PA017,2025,camellia_review,"Xiao et al. The molecular basis underlying phenotypic diversity in Camellia flower coloration and the evolution of research paradigms",10.1016/j.scienta.2025.114474,N4_camellia_mechanism,DIRECT_CAMELLIA_REVIEW,"Comprehensive review (~180 references) synthesizes flavonoid composition, DFR/FLS competition, MBW regulation, yellow flavonols, and breeding mechanisms.","The basic Camellia pigment-network synthesis is not novel. This review must be included in the manuscript novelty boundary."
PA018,2026,camellia_genomics,"Fan et al. Transposable Element-Mediated Structural Variation Drives Flower Colour Diversification in Camellia",10.1111/pbi.70442,N5_micro_macro,DIRECT_CAMELLIA,"237 accessions plus 11 genomes; genus phylogeny, ancestral-colour reconstruction, TE/SV regulatory rewiring and functional MYB60 evidence connect genomic mechanisms with colour diversification.","This is the strongest direct competitor. chun's defensible difference is not 'first micro-to-macro Camellia study' but explicit observation-regime standardization, accepted-taxonomy/wild-state robustness gates, and refusal to attribute non-robust branches."
PA019,2026,camellia_genomics,"Fan et al. A near telomere-to-telomere genome reveals yellow camellias evolution and flavonols biosynthesis",10.1016/j.indcrop.2026.123200,N4_camellia_mechanism,DIRECT_CAMELLIA,"Yellow-Camellia population genomics plus functional WRKY23-to-FLS evidence directly links flavonol regulation with yellow-lineage evolution.","Yellow flavonol regulation is prior art; chun's yellow result should be framed as standardized recurrence/heterogeneity across public developmental systems."
PA020,2025,flower_colour_ecology,"Zhang et al. Within-species floral evolution reveals convergence in adaptive walks during incipient pollinator shift",10.1038/s41467-025-57639-3,N5_micro_macro,DIRECT_FLOWER_COLOUR,"Integrated repeated natural floral-colour transitions, genetic changes, additional floral traits, and experimental pollinator behaviour in related Mimulus systems.","Genotype-to-phenotype-to-pollinator integration is not novel broadly; chun's ecology value is inferential boundary-setting across scales rather than direct adaptive-causation demonstration."
PA021,2026,flower_colour_frontier,"Berardi et al. Paradigm shifts in flower color: An introduction",10.1002/ajb2.70150,N4_ecological_causation,CONTEXT_REVIEW,"Frames current flower-colour research as jointly shaped by pollination, abiotic functions, pigment pleiotropy, correlated traits, and structural colour.","Ecological interpretation should be plural and conditional, not a single pollinator/climate story."
