analysis_id,source_key,topic,current_status,manuscript_placement,result_ids,replacement_or_current_anchor,current_use,notes
A015,PR#55,FastTree accepted-species colour conservatism,current,supplement,P02_LOCAL_COLOUR_CONSERV_FASTTREE;P04_GLOBAL_MPD_TOPOLOGY_SENSITIVE,PR#58,Supplementary topology sensitivity,"Retain to show nearest-same-colour replication and global-MPD topology sensitivity."
A016,PR#56,UFBoot vs FastTree accepted-species topology comparison,current,main,P01_NUCLEAR_TOPOLOGY_CONCORDANCE,,Methods + Results,"Authoritative nuclear topology robustness comparison."
A017,PR#58,UFBoot accepted-species colour conservatism,current,main,P03_LOCAL_COLOUR_CONSERV_UFBOOT;P04_GLOBAL_MPD_TOPOLOGY_SENSITIVE;P05_A_SPECIFIC_PERMISSIVITY_NOT_STRICT,,Results,"Authoritative pattern-level macro result and negative robustness results."
A018,PR#45,wild-colour/taxonomy stress audit of legacy W→A branches,current,supplement,B01_NO_ROBUST_ACCEPTED_BRANCH_EVENTS,PR#51;PR#53,Supplementary sensitivity history,"Important falsification audit explaining why legacy branch events were reset."
A019,PR#44,legacy 93-tip W→A branch endpoints,superseded,exclude,S04_LEGACY_THREE_WA_BRANCHES,PR#45;PR#53,None,"Do not use in branch-climate, branch-pollinator or micro→macro tests."
A020,PR#43,legacy 93-tip ancestral colour history,superseded,exclude,S03_LEGACY_DEFINITIVE_W_ROOT,PR#53,None,"Do not use as a definitive or novel white-ancestor result."
A021,PR#40,legacy 91-tip FastTree colour clustering,superseded,exclude,S01_LEGACY_A_SPECIFIC_PERMISSIVITY;S02_LEGACY_GLOBAL_MPD_HEADLINE,PR#55;PR#58,None,"Historical pattern screen superseded by accepted taxonomy + wild trait + UFBoot sensitivity."
A022,PR#35,prebranch A-specific/history-proxy ultimate-cause screen,superseded,exclude,S01_LEGACY_A_SPECIFIC_PERMISSIVITY,PR#40;PR#55;PR#58,None,"Traditional-section proxy and legacy trait labels are not current Paper 1 evidence."
A023,PR#38,unfinished legacy A-specific topology test,superseded,provenance_only,S01_LEGACY_A_SPECIFIC_PERMISSIVITY,PR#40,Workflow provenance,"Closed historical route; no current manuscript result."
A024,PR#31,runtime91 UFBoot gene-tree pipeline,consumed,provenance_only,,PR#47;PR#56,Sequence/tree provenance,"Intermediate computation provenance only."
A025,PR#47,completed runtime91 UFBoot339 recovery and ASTER sensitivity,consumed,provenance_only,,PR#56,Sequence/tree provenance,"Frozen gene trees consumed by accepted-species topology sensitivity."
A026,PR#36,ecological persistence hypothesis generation,historical,supplement,,Issue#62,Discussion hypothesis provenance,"May support hypothesis trajectory in Supplement; not an empirical result by itself."
A027,docs/MACRO_PAPER_PUBLIC_DATA_BOUNDARY.md,public-data stop rule,current,main,C02_PUBLIC_DATA_IDENTIFIABILITY_BOUNDARY,,Discussion + empirical handoff,"Authoritative research-program boundary after accepted-species event failure."
A028,docs/PAPER1_AUTHORITATIVE_RESULT_REGISTRY.md,Paper 1 result contract,current,provenance_only,C01_CROSS_SCALE_MISMATCH;C02_PUBLIC_DATA_IDENTIFIABILITY_BOUNDARY,,Manuscript governance,"Controls current result IDs; not itself a biological observation."
A029,data/orthology_resolution_by_feature_v0_1.csv,historical orthology ledger,superseded,provenance_only,,data/orthology_resolution_by_feature_v0_3.csv,Reproducibility provenance,"Historical ledger version only."
A030,data/orthology_resolution_by_feature_v0_2.csv,historical orthology ledger,superseded,provenance_only,,data/orthology_resolution_by_feature_v0_3.csv,Reproducibility provenance,"Historical ledger version only."
A031,data/orthology_resolution_by_feature_v0_3.csv,current orthology ledger,current,supplement,M01_FLS_SAME_LINEAGE;M02_DFR_PARALOG_SUBSTITUTION;M03_ANS_COPY_DIRECTION_HETEROGENEITY;M04_ANR_COPY_DIRECTION_HETEROGENEITY,,Supplementary machine-readable evidence,"Current copy-/family-aware orthology ledger."
